UID          PID    PPID  C STIME TTY          TIME CMD
daadest+    3249    2744  0 07:46 ?        00:00:00 /usr/libexec/gsd-wwan
daadest+    3250    2744  0 07:46 ?        00:00:00 /usr/libexec/gsd-xsettings
daadest+    3268    3094  0 07:46 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
daadest+    3269    3094  0 07:46 ?        00:00:00 /usr/bin/anydesk --tray
daadest+    3271    3094  0 07:46 ?        00:00:04 /snap/riseup-vpn/168/bin/riseup-vpn
daadest+    3278    3094  0 07:46 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
daadest+    3310    3094  0 07:46 ?        00:00:02 /usr/lib/x86_64-linux-gnu/libexec/kdeconnectd
daadest+    3358    2744  0 07:46 ?        00:00:08 /snap/snap-store/518/usr/bin/snap-store --gapplication-service
daadest+    3362    2744  0 07:46 ?        00:00:00 /usr/libexec/gsd-printer
daadest+    3535    2744  5 07:47 ?        00:09:51 /opt/google/chrome/chrome
daadest+    3544    3535  0 07:47 ?        00:00:00 cat
daadest+    3545    3535  0 07:47 ?        00:00:00 cat
daadest+    3773    3535  0 07:47 ?        00:00:00 /opt/google/chrome/chrome --type=zygote --no-zygote-sandbox --enable-crash-reporter=eebeb00a-a0c4-4316-8c45-262043957a2e,
daadest+    3775    3535  0 07:47 ?        00:00:00 /opt/google/chrome/chrome --type=zygote --enable-crash-reporter=eebeb00a-a0c4-4316-8c45-262043957a2e,
daadest+    3845    3775  0 07:47 ?        00:00:00 /opt/google/chrome/nacl_helper
daadest+    3857    3775  0 07:47 ?        00:00:00 /opt/google/chrome/chrome --type=zygote --enable-crash-reporter=eebeb00a-a0c4-4316-8c45-262043957a2e,
daadest+    4048    3773 10 07:47 ?        00:19:33 /opt/google/chrome/chrome --type=gpu-process --field-trial-handle=3438651059000056980,7765889086239088587,131072 --enable-crash-reporter=eebeb00a-a0c4-4316-8c45-262043957a2e, --gpu-preferences=QAAAAAAAAAAgAAAQAAAAAAAAAAAAAAAAAABgAAAAAAAgAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAgAAAAAAAAA --shared-files
daadest+    4074    3535  1 07:47 ?        00:02:30 /opt/google/chrome/chrome --type=utility --utility-sub-type=network.mojom.NetworkService --field-trial-handle=3438651059000056980,7765889086239088587,131072 --lang=en-GB --service-sandbox-type=network --enable-crash-reporter=eebeb00a-a0c4-4316-8c45-262043957a2e, --shared-files=v8_context_snapshot_data:100
daadest+    4205    3857  0 07:47 ?        00:00:02 /opt/google/chrome/chrome --type=utility --utility-sub-type=storage.mojom.StorageService --field-trial-handle=3438651059000056980,7765889086239088587,131072 --lang=en-GB --service-sandbox-type=utility --enable-crash-reporter=eebeb00a-a0c4-4316-8c45-262043957a2e, --shared-files=v8_context_snapshot_data:100
daadest+    4328    3857  0 07:47 ?        00:01:14 /opt/google/chrome/chrome --type=renderer --field-trial-handle=3438651059000056980,7765889086239088587,131072 --lang=en-GB --enable-crash-reporter=eebeb00a-a0c4-4316-8c45-262043957a2e, --extension-process --origin-trial-disabled-features=SecurePaymentConfirmation --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=5 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
root        4388       2  0 07:47 ?        00:00:00 bpfilter_umh
daadest+    4391    3857  0 07:47 ?        00:00:00 /opt/google/chrome/chrome --type=renderer --field-trial-handle=3438651059000056980,7765889086239088587,131072 --lang=en-GB --enable-crash-reporter=eebeb00a-a0c4-4316-8c45-262043957a2e, --extension-process --origin-trial-disabled-features=SecurePaymentConfirmation --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=7 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
daadest+    4403    3857  0 07:47 ?        00:01:27 /opt/google/chrome/chrome --type=renderer --field-trial-handle=3438651059000056980,7765889086239088587,131072 --lang=en-GB --enable-crash-reporter=eebeb00a-a0c4-4316-8c45-262043957a2e, --extension-process --origin-trial-disabled-features=SecurePaymentConfirmation --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=8 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
daadest+    4417    3857  0 07:47 ?        00:00:00 /opt/google/chrome/chrome --type=renderer --field-trial-handle=3438651059000056980,7765889086239088587,131072 --lang=en-GB --enable-crash-reporter=eebeb00a-a0c4-4316-8c45-262043957a2e, --extension-process --origin-trial-disabled-features=SecurePaymentConfirmation --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=9 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
